sample_id	subject_id	clone_id	seq_count	seq_freq
P05_FNA_2_60_Y1	P05	649	15	0.032258064516129
P05_FNA_2_60_Y1	P05	13	12	0.0258064516129032
P05_FNA_2_60_Y1	P05	471	9	0.0193548387096774
P05_FNA_60_Y1	P05	373	9	0.0198675496688742
P05_FNA_60_Y1	P05	5	9	0.0198675496688742
P05_FNA_60_Y1	P05	13	8	0.0176600441501104
P05_FNA_60_Y1	P05	470	8	0.0176600441501104
P05_FNA_2_0_Y1	P05	472	7	0.0238907849829352
P05_FNA_2_0_Y1	P05	475	7	0.0238907849829352
P05_FNA_2_60_Y1	P05	571	7	0.0150537634408602
P05_FNA_3_12_Y1	P05	500	7	0.0286885245901639
P05_FNA_60_Y1	P05	246	7	0.0154525386313466
P05_FNA_2_5_Y1	P05	700	6	0.0244897959183673
P05_FNA_2_60_Y1	P05	50	6	0.0129032258064516
P05_FNA_5_Y1	P05	302	6	0.0212014134275618
P05_FNA_5_Y1	P05	657	6	0.0212014134275618
P05_FNA_60_Y1	P05	473	6	0.0132450331125828
P05_FNA_60_Y1	P05	713	6	0.0132450331125828
P05_FNA_2_0_Y1	P05	241	5	0.0170648464163823
P05_FNA_2_12_Y1	P05	430	5	0.0277777777777778
P05_FNA_2_12_Y1	P05	533	5	0.0277777777777778
P05_FNA_2_12_Y1	P05	672	5	0.0277777777777778
P05_FNA_2_28_Y1	P05	280	5	0.0226244343891403
P05_FNA_2_60_Y1	P05	12	5	0.010752688172043
P05_FNA_2_60_Y1	P05	162	5	0.010752688172043
P05_FNA_2_60_Y1	P05	286	5	0.010752688172043
P05_FNA_2_60_Y1	P05	373	5	0.010752688172043
P05_FNA_2_60_Y1	P05	425	5	0.010752688172043
P05_FNA_2_60_Y1	P05	455	5	0.010752688172043
P05_FNA_2_60_Y1	P05	459	5	0.010752688172043
P05_FNA_2_60_Y1	P05	472	5	0.010752688172043
P05_FNA_2_60_Y1	P05	475	5	0.010752688172043
P05_FNA_2_60_Y1	P05	5	5	0.010752688172043
P05_FNA_3_12_Y1	P05	343	5	0.0204918032786885
P05_FNA_3_28_Y1	P05	286	5	0.0264550264550265
P05_FNA_5_Y1	P05	15	5	0.0176678445229682
P05_FNA_60_Y1	P05	143	5	0.011037527593819
P05_FNA_60_Y1	P05	395	5	0.011037527593819
P05_FNA_60_Y1	P05	474	5	0.011037527593819
P05_FNA_60_Y1	P05	475	5	0.011037527593819
P05_FNA_60_Y1	P05	534	5	0.011037527593819
P05_FNA_0_Y1	P05	166	4	0.0184331797235023
P05_FNA_0_Y1	P05	201	4	0.0184331797235023
P05_FNA_12_Y1	P05	624	4	0.0192307692307692
P05_FNA_12_Y1	P05	627	4	0.0192307692307692
P05_FNA_2_0_Y1	P05	140	4	0.0136518771331058
P05_FNA_2_0_Y1	P05	197	4	0.0136518771331058
P05_FNA_2_0_Y1	P05	361	4	0.0136518771331058
P05_FNA_2_0_Y1	P05	387	4	0.0136518771331058
P05_FNA_2_0_Y1	P05	461	4	0.0136518771331058
P05_FNA_2_0_Y1	P05	47	4	0.0136518771331058
P05_FNA_2_5_Y1	P05	14	4	0.0163265306122449
P05_FNA_2_5_Y1	P05	472	4	0.0163265306122449
P05_FNA_2_5_Y1	P05	554	4	0.0163265306122449
P05_FNA_2_5_Y1	P05	650	4	0.0163265306122449
P05_FNA_2_60_Y1	P05	14	4	0.00860215053763441
P05_FNA_2_60_Y1	P05	271	4	0.00860215053763441
P05_FNA_2_60_Y1	P05	473	4	0.00860215053763441
P05_FNA_2_60_Y1	P05	48	4	0.00860215053763441
P05_FNA_2_60_Y1	P05	660	4	0.00860215053763441
P05_FNA_2_60_Y1	P05	713	4	0.00860215053763441
P05_FNA_3_12_Y1	P05	278	4	0.0163934426229508
P05_FNA_3_12_Y1	P05	284	4	0.0163934426229508
P05_FNA_5_Y1	P05	115	4	0.0141342756183746
P05_FNA_5_Y1	P05	397	4	0.0141342756183746
P05_FNA_5_Y1	P05	471	4	0.0141342756183746
P05_FNA_60_Y1	P05	250	4	0.00883002207505519
P05_FNA_60_Y1	P05	378	4	0.00883002207505519
P05_FNA_60_Y1	P05	46	4	0.00883002207505519
P05_FNA_60_Y1	P05	47	4	0.00883002207505519
P05_FNA_60_Y1	P05	471	4	0.00883002207505519
P05_FNA_60_Y1	P05	49	4	0.00883002207505519
P05_FNA_60_Y1	P05	50	4	0.00883002207505519
P05_FNA_60_Y1	P05	53	4	0.00883002207505519
P05_FNA_60_Y1	P05	609	4	0.00883002207505519
P05_FNA_60_Y1	P05	640	4	0.00883002207505519
P05_FNA_60_Y1	P05	649	4	0.00883002207505519
P05_FNA_0_Y1	P05	100	3	0.0138248847926267
P05_FNA_0_Y1	P05	13	3	0.0138248847926267
P05_FNA_0_Y1	P05	134	3	0.0138248847926267
P05_FNA_0_Y1	P05	472	3	0.0138248847926267
P05_FNA_0_Y1	P05	475	3	0.0138248847926267
P05_FNA_0_Y1	P05	571	3	0.0138248847926267
P05_FNA_0_Y1	P05	655	3	0.0138248847926267
P05_FNA_12_Y1	P05	217	3	0.0144230769230769
P05_FNA_12_Y1	P05	436	3	0.0144230769230769
P05_FNA_12_Y1	P05	473	3	0.0144230769230769
P05_FNA_12_Y1	P05	49	3	0.0144230769230769
P05_FNA_2_0_Y1	P05	14	3	0.0102389078498294
P05_FNA_2_0_Y1	P05	251	3	0.0102389078498294
P05_FNA_2_0_Y1	P05	411	3	0.0102389078498294
P05_FNA_2_0_Y1	P05	431	3	0.0102389078498294
P05_FNA_2_0_Y1	P05	455	3	0.0102389078498294
P05_FNA_2_0_Y1	P05	465	3	0.0102389078498294
P05_FNA_2_0_Y1	P05	467	3	0.0102389078498294
P05_FNA_2_0_Y1	P05	470	3	0.0102389078498294
P05_FNA_2_0_Y1	P05	471	3	0.0102389078498294
